tableRef;brand;model;yearModel;price
setembro/2017;Acura;Integra GS 1.8;1992 Gasolina;12.649,00
setembro/2017;Agrale;MARRUÁ 2.8 12V 132cv TDI Diesel;2007 Diesel;
setembro/2017;Alfa Romeo;145 Elegant 1.7/1.8 16V;1999 Gasolina;13.590,00
setembro/2017;AM Gen;Hummer Hard-Top 6.5 4x4 Diesel TB;2000 Diesel;247.380,00
setembro/2017;Asia Motors;AM-825 Luxo 4.0 Diesel;1998 Diesel;26.391,00
setembro/2017;ASTON MARTIN;DB9 Coupe 6.0 V12 510cv;2016 Gasolina;1.442.867,00
setembro/2017;Audi;100 2.8 V6;1995 Gasolina;14.167,00
setembro/2017;BMW;116iA 1.6 TB 16V 136cv 5p;2015 Gasolina;77.509,00
setembro/2017;BRM;Buggy W. Turing/Luxo/M-11 Absolut 1.6 8V;Zero KM Gasolina;42.000,00
setembro/2017;Buggy;Buggy 1.6 2-Lug.;1997 Gasolina;5.393,00
agosto/2017;Acura;Integra GS 1.8;1992 Gasolina;12.703,00
agosto/2017;Agrale;MARRUÁ 2.8 12V 132cv TDI Diesel;2007 Diesel;54.633,00
agosto/2017;Alfa Romeo;145 Elegant 1.7/1.8 16V;1999 Gasolina;13.620,00
agosto/2017;AM Gen;Hummer Hard-Top 6.5 4x4 Diesel TB;2000 Diesel;248.350,00
agosto/2017;Asia Motors;AM-825 Luxo 4.0 Diesel;1998 Diesel;26.519,00
agosto/2017;ASTON MARTIN;DB9 Coupe 6.0 V12 510cv;2016 Gasolina;1.446.768,00
agosto/2017;Audi;100 2.8 V6;1995 Gasolina;14.218,00
agosto/2017;BMW;116iA 1.6 TB 16V 136cv 5p;2015 Gasolina;76.501,00
agosto/2017;BRM;Buggy W. Turing/Luxo/M-11 Absolut 1.6 8V;Zero KM Gasolina;42.000,00
agosto/2017;Buggy;Buggy 1.6 2-Lug.;1997 Gasolina;5.419,00
julho/2017;Acura;Integra GS 1.8;1992 Gasolina;12.731,00
julho/2017;Agrale;MARRUÁ 2.8 12V 132cv TDI Diesel;2007 Diesel;53.910,00
julho/2017;Alfa Romeo;145 Elegant 1.7/1.8 16V;1999 Gasolina;13.663,00
julho/2017;AM Gen;Hummer Hard-Top 6.5 4x4 Diesel TB;2000 Diesel;248.898,00
julho/2017;Asia Motors;AM-825 Luxo 4.0 Diesel;1998 Diesel;26.584,00
julho/2017;ASTON MARTIN;DB9 Coupe 6.0 V12 510cv;2016 Gasolina;1.449.841,00
julho/2017;Audi;100 2.8 V6;1995 Gasolina;14.259,00
julho/2017;BMW;116iA 1.6 TB 16V 136cv 5p;2015 Gasolina;76.644,00
julho/2017;BRM;Buggy W. Turing/Luxo/M-11 Absolut 1.6 8V;Zero KM Gasolina;42.000,00
julho/2017;Buggy;Buggy 1.6 2-Lug.;1997 Gasolina;5.436,00
junho/2017;Acura;Integra GS 1.8;1992 Gasolina;12.777,00
junho/2017;Agrale;MARRUÁ 2.8 12V 132cv TDI Diesel;2007 Diesel;54.161,00
junho/2017;Alfa Romeo;145 Elegant 1.7/1.8 16V;1999 Gasolina;13.723,00
junho/2017;AM Gen;Hummer Hard-Top 6.5 4x4 Diesel TB;2000 Diesel;250.126,00
junho/2017;Asia Motors;AM-825 Luxo 4.0 Diesel;1998 Diesel;26.659,00
junho/2017;ASTON MARTIN;DB9 Coupe 6.0 V12 510cv;2016 Gasolina;1.456.533,00
junho/2017;Audi;100 2.8 V6;1995 Gasolina;14.324,00
junho/2017;BMW;116iA 1.6 TB 16V 136cv 5p;2015 Gasolina;76.092,00
junho/2017;BRM;Buggy W. Turing/Luxo/M-11 Absolut 1.6 8V;Zero KM Gasolina;42.000,00
junho/2017;Buggy;Buggy 1.6 2-Lug.;1997 Gasolina;5.454,00
maio/2017;Acura;Integra GS 1.8;1992 Gasolina;12.823,00
maio/2017;Agrale;MARRUÁ 2.8 12V 132cv TDI Diesel;2007 Diesel;54.323,00
maio/2017;Alfa Romeo;145 Elegant 1.7/1.8 16V;1999 Gasolina;13.780,00
maio/2017;AM Gen;Hummer Hard-Top 6.5 4x4 Diesel TB;2000 Diesel;251.372,00
maio/2017;Asia Motors;AM-825 Luxo 4.0 Diesel;1998 Diesel;26.775,00
maio/2017;ASTON MARTIN;DB9 Coupe 6.0 V12 510cv;2016 Gasolina;1.459.568,00
maio/2017;Audi;100 2.8 V6;1995 Gasolina;14.367,00
maio/2017;BMW;116iA 1.6 TB 16V 136cv 5p;Zero KM Gasolina;109.222,00
maio/2017;BRM;Buggy W. Turing/Luxo/M-11 Absolut 1.6 8V;Zero KM Gasolina;42.000,00
maio/2017;Buggy;Buggy 1.6 2-Lug.;1997 Gasolina;5.469,00
abril/2017;Acura;Integra GS 1.8;1992 Gasolina;12.856,00
abril/2017;Agrale;MARRUÁ 2.8 12V 132cv TDI Diesel;2007 Diesel;54.524,00
abril/2017;Alfa Romeo;145 Elegant 1.7/1.8 16V;1999 Gasolina;13.727,00
abril/2017;AM Gen;Hummer Hard-Top 6.5 4x4 Diesel TB;2000 Diesel;252.500,00
abril/2017;Asia Motors;AM-825 Luxo 4.0 Diesel;1998 Diesel;26.903,00
abril/2017;ASTON MARTIN;DB9 Coupe 6.0 V12 510cv;2016 Gasolina;1.463.199,00
abril/2017;Audi;100 2.8 V6;1995 Gasolina;14.437,00
abril/2017;BMW;116iA 1.6 TB 16V 136cv 5p;Zero KM Gasolina;109.396,00
abril/2017;BRM;Buggy W. Turing/Luxo/M-11 Absolut 1.6 8V;Zero KM Gasolina;42.000,00
abril/2017;Buggy;Buggy 1.6 2-Lug.;1997 Gasolina;5.453,00
março/2017;Acura;Integra GS 1.8;1992 Gasolina;12.889,00
março/2017;Agrale;MARRUÁ 2.8 12V 132cv TDI Diesel;2007 Diesel;54.725,00
março/2017;Alfa Romeo;145 Elegant 1.7/1.8 16V;1999 Gasolina;13.674,00
março/2017;AM Gen;Hummer Hard-Top 6.5 4x4 Diesel TB;2000 Diesel;253.633,00
março/2017;Asia Motors;AM-825 Luxo 4.0 Diesel;1998 Diesel;27.031,00
março/2017;ASTON MARTIN;DB9 Coupe 6.0 V12 510cv;Zero KM Gasolina;1.690.448,00
março/2017;Audi;100 2.8 V6;1995 Gasolina;14.507,00
março/2017;BMW;116iA 1.6 TB 16V 136cv 5p;Zero KM Gasolina;109.570,00
março/2017;BRM;Buggy W. Turing/Luxo/M-11 Absolut 1.6 8V;Zero KM Gasolina;42.038,00
março/2017;Buggy;Buggy 1.6 2-Lug.;1997 Gasolina;5.437,00
fevereiro/2017;Acura;Integra GS 1.8;1992 Gasolina;12.921,00
fevereiro/2017;Agrale;MARRUÁ 2.8 12V 132cv TDI Diesel;2007 Diesel;54.916,00
fevereiro/2017;Alfa Romeo;145 Elegant 1.7/1.8 16V;1999 Gasolina;13.622,00
fevereiro/2017;AM Gen;Hummer Hard-Top 6.5 4x4 Diesel TB;2000 Diesel;254.617,00
fevereiro/2017;Asia Motors;AM-825 Luxo 4.0 Diesel;1998 Diesel;27.102,00
fevereiro/2017;ASTON MARTIN;DB9 Coupe 6.0 V12 510cv;Zero KM Gasolina;1.690.448,00
fevereiro/2017;Audi;100 2.8 V6;1995 Gasolina;14.564,00
fevereiro/2017;BMW;116iA 1.6 TB 16V 136cv 5p;Zero KM Gasolina;109.685,00
fevereiro/2017;BRM;Buggy W. Turing/Luxo/M-11 Absolut 1.6 8V;Zero KM Gasolina;42.047,00
fevereiro/2017;Buggy;Buggy 1.6 2-Lug.;1997 Gasolina;5.413,00
janeiro/2017;Acura;Integra GS 1.8;1992 Gasolina;12.979,00
janeiro/2017;Agrale;MARRUÁ 2.8 12V 132cv TDI Diesel;2007 Diesel;55.070,00
janeiro/2017;Alfa Romeo;145 Elegant 1.7/1.8 16V;1999 Gasolina;13.563,00
janeiro/2017;AM Gen;Hummer Hard-Top 6.5 4x4 Diesel TB;2000 Diesel;255.871,00
janeiro/2017;Asia Motors;AM-825 Luxo 4.0 Diesel;1998 Diesel;27.200,00
janeiro/2017;ASTON MARTIN;DB9 Coupe 6.0 V12 510cv;Zero KM Gasolina;1.692.937,00
janeiro/2017;Audi;100 2.8 V6;1995 Gasolina;14.595,00
janeiro/2017;BMW;116iA 1.6 TB 16V 136cv 5p;Zero KM Gasolina;109.865,00
janeiro/2017;BRM;Buggy W. Turing/Luxo/M-11 Absolut 1.6 8V;Zero KM Gasolina;42.000,00
janeiro/2017;Buggy;Buggy 1.6 2-Lug.;1997 Gasolina;5.390,00
dezembro/2016;Acura;Integra GS 1.8;1992 Gasolina;12.992,00
dezembro/2016;Agrale;MARRUÁ 2.8 12V 132cv TDI Diesel;2007 Diesel;55.126,00
dezembro/2016;Alfa Romeo;145 Elegant 1.7/1.8 16V;1999 Gasolina;13.888,00
dezembro/2016;AM Gen;Hummer Hard-Top 6.5 4x4 Diesel TB;2000 Diesel;256.128,00
dezembro/2016;Asia Motors;AM-825 Luxo 4.0 Diesel;1998 Diesel;27.228,00
dezembro/2016;ASTON MARTIN;DB9 Coupe 6.0 V12 510cv;Zero KM Gasolina;1.695.000,00
dezembro/2016;Audi;100 2.8 V6;1995 Gasolina;14.610,00
dezembro/2016;BMW;116iA 1.6 TB 16V 136cv 5p;Zero KM Gasolina;110.067,00
dezembro/2016;BRM;Buggy W. Turing/Luxo/M-11 Absolut 1.6 8V;Zero KM Gasolina;42.000,00
dezembro/2016;Buggy;Buggy 1.6 2-Lug.;1997 Gasolina;5.322,00
novembro/2016;Acura;Integra GS 1.8;1992 Gasolina;13.041,00
novembro/2016;Agrale;MARRUÁ 2.8 12V 132cv TDI Diesel;2007 Diesel;55.354,00
novembro/2016;Alfa Romeo;145 Elegant 1.7/1.8 16V;1999 Gasolina;13.931,00
novembro/2016;AM Gen;Hummer Hard-Top 6.5 4x4 Diesel TB;2000 Diesel;257.186,00
novembro/2016;Asia Motors;AM-825 Luxo 4.0 Diesel;1998 Diesel;27.337,00
novembro/2016;ASTON MARTIN;DB9 Coupe 6.0 V12 510cv;Zero KM Gasolina;1.695.000,00
novembro/2016;Audi;100 2.8 V6;1995 Gasolina;14.647,00
novembro/2016;BMW;116iA 1.6 TB 16V 136cv 5p;Zero KM Gasolina;110.210,00
novembro/2016;BRM;Buggy W. Turing/Luxo/M-11 Absolut 1.6 8V;Zero KM Gasolina;42.000,00
novembro/2016;Buggy;Buggy 1.6 2-Lug.;1997 Gasolina;5.330,00
outubro/2016;Acura;Integra GS 1.8;1992 Gasolina;13.057,00
outubro/2016;Agrale;MARRUÁ 2.8 12V 132cv TDI Diesel;2007 Diesel;55.455,00
outubro/2016;Alfa Romeo;145 Elegant 1.7/1.8 16V;1999 Gasolina;13.955,00
outubro/2016;AM Gen;Hummer Hard-Top 6.5 4x4 Diesel TB;2000 Diesel;257.566,00
outubro/2016;Asia Motors;AM-825 Luxo 4.0 Diesel;1998 Diesel;27.440,00
outubro/2016;ASTON MARTIN;DB9 Coupe 6.0 V12 510cv;Zero KM Gasolina;1.693.500,00
outubro/2016;Audi;100 2.8 V6;1995 Gasolina;14.701,00
outubro/2016;BMW;116iA 1.6 TB 16V 136cv 5p;Zero KM Gasolina;110.418,00
outubro/2016;BRM;Buggy W. Turing/Luxo/M-11 Absolut 1.6 8V;Zero KM Gasolina;42.120,00
outubro/2016;Buggy;Buggy 1.6 2-Lug.;1997 Gasolina;5.357,00
